0:0:5,117,0.60,-0.34,-0.67,100,46,151,511
0:0:5,118,0.59,-0.33,-0.66,103,54,140,517
0:0:5,119,0.59,-0.33,-0.66,102,72,147,511
0:0:5,120,0.61,-0.33,-0.66,105,71,147,514
0:0:5,121,0.59,-0.33,-0.67,95,100,138,510
0:0:5,122,0.60,-0.33,-0.67,94,135,134,510
0:0:5,123,0.61,-0.33,-0.67,98,130,137,516
0:0:5,124,0.58,-0.34,-0.63,105,162,133,512
0:0:5,125,0.61,-0.34,-0.65,97,134,124,524
0:0:5,126,0.61,-0.34,-0.67,95,68,133,511
0:0:5,127,0.60,-0.33,-0.67,91,48,149,510
0:0:5,128,0.59,-0.33,-0.67,86,89,159,525
0:0:5,129,0.59,-0.33,-0.67,87,142,171,510
0:0:5,130,0.59,-0.33,-0.66,95,132,159,511
0:0:5,131,0.60,-0.33,-0.66,101,75,154,520
0:0:5,132,0.59,-0.32,-0.67,116,100,175,515
0:0:5,133,0.57,-0.32,-0.67,107,176,180,510
0:0:5,134,0.60,-0.33,-0.66,104,163,189,521
0:0:5,135,0.59,-0.33,-0.67,98,148,183,519
0:0:5,136,0.59,-0.33,-0.67,80,187,167,515
0:0:5,137,0.59,-0.30,-0.66,83,191,167,509
0:0:5,138,0.59,-0.29,-0.66,79,219,148,506
0:0:5,139,0.59,-0.28,-0.66,77,282,121,509
0:0:5,140,0.60,-0.27,-0.66,90,354,114,510
0:0:5,141,0.64,-0.28,-0.64,80,374,119,517
0:0:5,142,0.71,-0.28,-0.62,132,151,88,517
0:0:5,143,0.73,-0.25,-0.58,272,-151,32,517
0:0:5,144,0.78,-0.24,-0.54,385,-536,81,518
0:0:5,145,0.69,-0.30,-0.63,361,-770,57,504
0:0:5,146,0.53,-0.37,-0.79,264,-501,-33,512
0:0:5,147,0.52,-0.35,-0.73,192,13,-72,521
0:0:5,148,0.55,-0.34,-0.67,160,520,-91,513
0:0:5,149,0.64,-0.35,-0.67,158,715,-136,511
0:0:5,150,0.67,-0.37,-0.67,153,720,-99,509
0:0:5,151,0.62,-0.41,-0.67,133,766,-78,522
0:0:6,152,0.54,-0.42,-0.63,105,1106,-92,513
0:0:6,153,0.56,-0.41,-0.60,85,1481,-109,521
0:0:6,154,0.68,-0.38,-0.57,114,1446,-73,510
0:0:6,155,0.70,-0.36,-0.57,109,1305,-56,511
0:0:6,156,0.64,-0.36,-0.57,24,1419,-36,515
0:0:6,157,0.72,-0.30,-0.56,28,1310,-18,515
0:0:6,158,0.77,-0.24,-0.54,72,1069,4,518
